"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"1","1976-02-21T05:51:13.800Z",20.208,-156.267,33,4.9,"mb",NA,NA,NA,NA,"us","usp0000f57","2014-11-06T23:21:34.148Z","Maui region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"2","1976-01-29T20:19:56.000Z",19.4,-155,5,4.5,"mb",NA,NA,NA,NA,"us","usp0000ett","2014-11-06T23:21:33.799Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","h","us"
"3","1976-01-15T22:59:24.000Z",19.3,-155.3,30,4.8,"mb",NA,NA,NA,NA,"us","usp0000efz","2014-11-06T23:21:33.520Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","h","us"
"4","1976-01-12T00:05:39.000Z",19.3,-155.3,30,4.5,"mb",NA,NA,NA,NA,"us","usp0000ed9","2014-11-06T23:21:33.463Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","h","us"
"5","1975-11-29T18:43:59.800Z",19.187,-155.285,2,4.9,"mb",NA,NA,NA,NA,"us","usp0000dsh","2014-11-06T23:21:32.843Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","h","us"
"6","1975-11-29T14:47:40.400Z",19.334,-155.024,5,7.1,"ms",NA,NA,NA,NA,"us","usp0000dsc","2017-04-26T17:28:56.420Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","h","us"
"7","1975-11-29T13:35:40.500Z",19.36,-155.053,8,5.8,"mb",NA,NA,NA,NA,"us","usp0000dsa","2017-04-13T21:49:07.370Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","h","us"
"8","1975-07-09T18:40:03.400Z",19.507,-155.465,7,4.5,"ml",NA,NA,NA,NA,"us","usp0000byk","2014-11-06T23:21:31.154Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","h","hvo"
"9","1975-05-28T12:01:54.600Z",18.066,-153.74,33,4.6,"mb",NA,NA,NA,NA,"us","usp0000b7d","2014-11-06T23:21:30.462Z","Hawaiian Islands region","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"10","1975-01-05T01:32:06.800Z",19.519,-155.689,10,5.3,"ms",NA,NA,NA,NA,"us","usp00009da","2014-11-06T23:21:28.257Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"11","1975-01-03T17:32:48.100Z",19.162,-155.716,10,4.7,"mb",NA,NA,NA,NA,"us","usp00009cv","2014-11-06T23:21:28.240Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"12","1975-01-02T13:27:45.000Z",19.2,-155.4,5,4.5,"mb",NA,NA,NA,NA,"us","usp00009ca","2014-11-06T23:21:28.220Z","Hawaii region, Hawaii","earthquake",NA,NA,NA,NA,"reviewed","h","us"
